logistics_supplier,EMS,EMS,EMS,EMS,EMS,EMS,EMS,EMS,EMS,EMS,EMS,順豐,順豐,順豐
country,AU,CA,FR,DE,JP,NZ,KR,SG,MY,GB,US,CN,HK,MO
0.5,350,270,520,340,465,380,260,260,210,420,260,198,135,155
1,455,425,645,445,520,480,300,315,265,535,420,208,140,165
1.5,560,580,770,550,575,580,340,370,320,650,580,276,185,210
2,665,735,895,655,630,680,380,425,375,765,740,345,230,255
2.5,800,920,1050,790,715,810,450,510,460,910,930,443,305,330
3,905,1075,1175,895,770,910,490,565,515,1025,1090,511,345,380
3.5,1010,1230,1300,1000,825,1010,530,620,570,1140,1250,582,393,440
4,1115,1385,1425,1105,880,1110,570,675,625,1255,1410,654,441,500
4.5,1220,1540,1550,1210,935,1210,610,730,680,1370,1570,725,489,560
5,1365,1735,1715,1355,1030,1350,690,825,775,1525,1770,837,577,660
5.5,1470,1890,1840,1460,1085,1450,730,880,830,1640,1930,908,625,720
6,1575,2045,1965,1565,1140,1550,770,935,885,1755,2090,979,673,780
6.5,1680,2200,2090,1670,1195,1650,810,990,940,1870,2250,1051,721,840
7,1785,2355,2215,1775,1250,1750,850,1045,995,1985,2410,1122,769,900
7.5,1930,1775,2380,1920,1345,1890,930,1140,1090,2140,2610,1234,857,1000
8,2035,1930,2505,2025,1400,1990,970,1195,1145,2255,2770,1305,905,1060
8.5,2140,2085,2630,2130,1455,2090,1010,1250,1200,2370,2930,1376,953,1120
9,2245,2240,2755,2235,1510,2190,1050,1305,1255,2485,3090,1448,1001,1180
9.5,2350,2395,2880,2340,1565,2290,1090,1360,1310,2600,3250,1519,1049,1240
10,2455,2550,3005,2445,1620,2390,1130,1415,1365,2715,3410,1591,1097,1300
overweight,240,300,120,120,120,120,240,120,120,120,300,140,95,120
